LGA18,LGA18_NAME,CH_risk_OD_only,rank
25490,Moyne,0,186
25620,Murrindindi,0,187
25710,Nillumbik,0,188
25810,Northern Grampians,0,189
25900,Port Phillip,0,190
25990,Pyrenees,0,191
26080,Queenscliffe,0,192
26170,South Gippsland,0,193
26260,Southern Grampians,0,194
26350,Stonnington,0,195
26430,Strathbogie,0,196
26490,Surf Coast,0,197
26610,Swan Hill ,0,198
26670,Towong,0,199
26700,Wangaratta ,0,200
26730,Warrnambool,0,201
26810,Wellington,0,202
26890,West Wimmera,0,203
26980,Whitehorse,0,204
27070,Whittlesea,0,205
27170,Wodonga,0,206
27260,Wyndham,0,207
27350,Yarra,0,208
27450,Yarra Ranges,0,209
27630,Yarriambiack,0,210
29399,Unincorporated Vic,0,211
29499,No usual address (V,0,212
29799,Migratory - Offshore - Shipping (V,0,213
30250,Aurukun,0,214
30300,Balonne,0,215
30370,Banana,0,216
30410,Barcaldine,0,217
30450,Barcoo,0,218
30760,Blackall-Tambo,0,219
30900,Boulia,0,220
31000,Brisbane,0,221
31750,Bulloo,0,222
31820,Bundaberg,0,223
31900,Burdekin,0,224
31950,Burke,0,225
32080,Cairns,0,226
32250,Carpentaria,0,227
32260,Cassowary Coast,0,228
32270,Central Highlands (R) (,0,229
32310,Charters Towers,0,230
32330,Cherbourg,0,231
32450,Cloncurry,0,232
32500,Cook,0,233
32600,Croydon,0,234
32750,Diamantina,0,235
32770,Doomadgee,0,236
32810,Douglas,0,237
33100,Etheridge,0,238
33200,Flinders (S) (,0,239
33220,Fraser Coast,0,240
33360,Gladstone,0,241
33430,Gold Coast,0,242
33610,Goondiwindi,0,243
33620,Gympie,0,244
33800,Hinchinbrook,0,245
33830,Hope Vale,0,246
33960,Ipswich,0,247
33980,Isaac,0,248
34420,Kowanyama,0,249
34530,Livingstone,0,250
34570,Lockhart River,0,251
34580,Lockyer Valley,0,252
34590,Logan,0,253
34710,Longreach,0,254
34770,Mackay,0,255
34800,McKinlay,0,256
34830,Mapoon,0,257
34860,Maranoa,0,258
34880,Mareeba,0,259
35010,Moreton Bay,0,260
35250,Mornington,0,261
35300,Mount Isa,0,262
35600,Murweh,0,263
35670,Napranum,0,264
35740,Noosa,0,265
35760,North Burnett,0,266
35780,Northern Peninsula Area,0,267
35790,Palm Island,0,268
35800,Paroo,0,269
36070,Pormpuraaw,0,270
36150,Quilpie,0,271
36250,Redland,0,272
36300,Richmond,0,273
36370,Rockhampton,0,274
36510,Scenic Rim,0,275
36580,Somerset,0,276
36630,South Burnett,0,277
36660,Southern Downs,0,278
36720,Sunshine Coast,0,279
36820,Tablelands,0,280
36910,Toowoomba,0,281
36950,Torres,0,282
36960,Torres Strait Island,0,283
37010,Townsville,0,284
37300,Weipa,0,285
37310,Western Downs,0,286
37340,Whitsunday,0,287
37400,Winton,0,288
37550,Woorabinda,0,289
37570,Wujal Wujal,0,290
37600,Yarrabah,0,291
39499,No usual address (,0,292
39799,Migratory - Offshore - Shipping (,0,293
40070,Adelaide,0,294
40120,Adelaide Hills ,0,295
40150,Adelaide Plains ,0,296
40220,Alexandrina ,0,297
40250,Anangu Pitjantjatjara ,0,298
40310,Barossa ,0,299
40430,Barunga West ,0,300
40520,Berri and Barmera ,0,301
40700,Burnside,0,302
40910,Campbelltown (C) ,0,303
41010,Ceduna ,0,304
41060,Charles Sturt,0,305
41140,Clare and Gilbert Valleys ,0,306
41190,Cleve ,0,307
41330,Coober Pedy ,0,308
41560,Copper Coast ,0,309
41750,Elliston ,0,310
41830,Flinders Ranges ,0,311
41960,Franklin Harbour ,0,312
42030,Gawler,0,313
42110,Goyder ,0,314
42250,Grant ,0,315
42600,Holdfast Bay,0,316
42750,Kangaroo Island ,0,317
43080,Karoonda East Murray ,0,318
43220,Kimba ,0,319
43360,Kingston (DC) ,0,320
43650,Light (R,0,321
43710,Lower Eyre Peninsula ,0,322
43790,Loxton Waikerie ,0,323
44000,Maralinga Tjarutja ,0,324
44060,Marion,0,325
44210,Mid Murray ,0,326
44340,Mitcham,0,327
44550,Mount Barker ,0,328
44620,Mount Gambier,0,329
44830,Mount Remarkable ,0,330
45040,Murray Bridge ,0,331
45090,Naracoorte and Lucindale ,0,332
45120,Northern Areas ,0,333
45290,Norwood Payneham St Peters,0,334
45340,Onkaparinga,0,335
45400,Orroroo/Carrieton ,0,336
45540,Peterborough ,0,337
45680,Playford,0,338
45890,Port Adelaide Enfield,0,339
46090,Port Augusta,0,340
46300,Port Lincoln,0,341
46450,Port Pirie City and Dists,0,342
46510,Prospect,0,343
46670,Renmark Paringa ,0,344
46860,Robe ,0,345
46970,Roxby Downs,0,346
47140,Salisbury,0,347
47290,Southern Mallee ,0,348
47490,Streaky Bay ,0,349
47630,Tatiara ,0,350
47700,Tea Tree Gully,0,351
47800,The Coorong ,0,352
47910,Tumby Bay ,0,353
47980,Unley,0,354
48050,Victor Harbor,0,355
48130,Wakefield ,0,356
48260,Walkerville,0,357
48340,Wattle Range ,0,358
48410,West Torrens,0,359
48540,Whyalla,0,360
48640,Wudinna ,0,361
48750,Yankalilla ,0,362
48830,Yorke Peninsula ,0,363
49399,Unincorporated SA,0,364
49499,No usual address ,0,365
49799,Migratory - Offshore - Shipping ,0,366
50080,Albany,0,367
50210,Armadale,0,368
50250,Ashburton,0,369
50280,Augusta-Margaret River,0,370
50350,Bassendean,0,371
50420,Bayswater,0,372
50490,Belmont,0,373
50560,Beverley,0,374
50630,Boddington,0,375
50770,Boyup Brook,0,376
50840,Bridgetown-Greenbushes,0,377
50910,Brookton,0,378
50980,Broome,0,379
51080,Broomehill-Tambellup,0,380
51120,Bruce Rock,0,381
51190,Bunbury,0,382
51260,Busselton,0,383
51310,Cambridge,0,384
51330,Canning,0,385
51400,Capel,0,386
51470,Carnamah,0,387
51540,Carnarvon,0,388
51610,Chapman Valley,0,389
51680,Chittering,0,390
51750,Claremont,0,391
51820,Cockburn,0,392
51890,Collie,0,393
51960,Coolgardie,0,394
52030,Coorow,0,395
52100,Corrigin,0,396
52170,Cottesloe,0,397
52240,Cranbrook,0,398
52310,Cuballing,0,399
52380,Cue,0,400
52450,Cunderdin,0,401
52520,Dalwallinu,0,402
52590,Dandaragan,0,403
52660,Dardanup,0,404
52730,Denmark,0,405
52800,Derby-West Kimberley,0,406
52870,Donnybrook-Balingup,0,407
52940,Dowerin,0,408
53010,Dumbleyung,0,409
53080,Dundas,0,410
53150,East Fremantle,0,411
53220,East Pilbara,0,412
53290,Esperance,0,413
53360,Exmouth,0,414
53430,Fremantle,0,415
53570,Gingin,0,416
53640,Gnowangerup,0,417
53710,Goomalling,0,418
53780,Gosnells,0,419
53800,Greater Geraldton,0,420
53920,Halls Creek,0,421
53990,Harvey,0,422
54060,Irwin,0,423
54130,Jerramungup,0,424
54170,Joondalup,0,425
54200,Kalamunda,0,426
54280,Kalgoorlie/Boulder,0,427
54310,Karratha,0,428
54340,Katanning,0,429
54410,Kellerberrin,0,430
54480,Kent,0,431
54550,Kojonup,0,432
54620,Kondinin,0,433
54690,Koorda,0,434
54760,Kulin,0,435
54830,Kwinana,0,436
54900,Lake Grace,0,437
54970,Laverton,0,438
55040,Leonora,0,439
55110,Mandurah,0,440
55180,Manjimup,0,441
55250,Meekatharra,0,442
55320,Melville,0,443
55390,Menzies,0,444
55460,Merredin,0,445
55530,Mingenew,0,446
55600,Moora,0,447
55670,Morawa,0,448
55740,Mosman Park,0,449
55810,Mount Magnet,0,450
55880,Mount Marshall,0,451
55950,Mukinbudin,0,452
56090,Mundaring,0,453
56160,Murchison,0,454
56230,Murray,0,455
56300,Nannup,0,456
56370,Narembeen,0,457
56460,Narrogin,0,458
56580,Nedlands,0,459
56620,Ngaanyatjarraku,0,460
56730,Northam,0,461
56790,Northampton,0,462
56860,Nungarin,0,463
56930,Peppermint Grove,0,464
57000,Perenjori,0,465
57080,Perth,0,466
57140,Pingelly,0,467
57210,Plantagenet,0,468
57280,Port Hedland,0,469
57350,Quairading,0,470
57420,Ravensthorpe,0,471
57490,Rockingham,0,472
57630,Sandstone,0,473
57700,Serpentine-Jarrahdale,0,474
57770,Shark Bay,0,475
57840,South Perth,0,476
57910,Stirling,0,477
57980,Subiaco,0,478
58050,Swan,0,479
58190,Tammin,0,480
58260,Three Springs,0,481
58330,Toodyay,0,482
58400,Trayning,0,483
58470,Upper Gascoyne,0,484
58510,Victoria Park,0,485
58540,Victoria Plains,0,486
58570,Vincent,0,487
58610,Wagin,0,488
58680,Wandering,0,489
58760,Wanneroo,0,490
58820,Waroona,0,491
58890,West Arthur,0,492
59030,Westonia,0,493
59100,Wickepin,0,494
59170,Williams,0,495
59250,Wiluna,0,496
59310,Wongan-Ballidu,0,497
59320,Woodanilling,0,498
59330,Wyalkatchem,0,499
59340,Wyndham-East Kimberley,0,500
59350,Yalgoo,0,501
59360,Yilgarn,0,502
59370,York,0,503
59499,No usual address ,0,504
59799,Migratory - Offshore - Shipping ,0,505
60210,Break O'Day,0,506
60410,Brighton,0,507
60610,Burnie,0,508
60810,Central Coast (M) (T,0,509
61010,Central Highlands (M) (T,0,510
61210,Circular Head,0,511
61410,Clarence,0,512
61510,Derwent Valley,0,513
61610,Devonport,0,514
61810,Dorset,0,515
62010,Flinders (M) (T,0,516
62210,George Town,0,517
62410,Glamorgan/Spring Bay,0,518
62610,Glenorchy,0,519
62810,Hobart,0,520
63010,Huon Valley,0,521
63210,Kentish,0,522
63410,King Island,0,523
63610,Kingborough,0,524
63810,Latrobe (M) (T,0,525
64010,Launceston,0,526
64210,Meander Valley,0,527
64610,Northern Midlands,0,528
64810,Sorell,0,529
65010,Southern Midlands,0,530
65210,Tasman,0,531
65410,Waratah/Wynyard,0,532
65610,West Coast,0,533
65810,West Tamar,0,534
69499,No usual address (T,0,535
69799,Migratory - Offshore - Shipping (T,0,536
70200,Alice Springs,0,537
70420,Barkly,0,538
70540,Belyuen,0,539
70620,Central Desert,0,540
70700,Coomalie,0,541
71000,Darwin,0,542
71300,East Arnhem,0,543
72200,Katherine,0,544
72300,Litchfield,0,545
72330,MacDonnell,0,546
72800,Palmerston,0,547
73600,Roper Gulf,0,548
74050,Tiwi Islands,0,549
74550,Victoria Daly,0,550
74560,Wagait,0,551
74660,West Arnhem,0,552
74680,West Daly,0,553
79399,Unincorporated NT,0,554
79499,No usual address ,0,555
79799,Migratory - Offshore - Shipping ,0,556
89399,Unincorporated ACT,0,557
89499,No usual address (,0,558
89799,Migratory - Offshore - Shipping (,0,559
99399,Unincorp. Other Territories,0,560
99499,No usual address ,0,561
99799,Migratory - Offshore - Shipping ,0,562
